track_id,track_name,track_duration_ms,track_popularity,track_genres,album_id,album_name,album_release_date,album_label,artist_ids,artist_names
4uV4yldTUrYvHat6LiRZHl,Kawaii Kaiwai,153230,59,['anime'],1XHqGyZQTFzkomOfVttZtm,Kawaii Kaiwai,2025-07-04,,['0k24bjTbB2IUhV74mvSv4T'],['PiKi']
2e9O02ZlmdCjwAjkkoFImN,Tell Me Tell Me ☆,208653,25,['anime'],36EiMQrnz9w1fac0YENNRd,Kawaii Kaiwai,2025-09-03,,['0k24bjTbB2IUhV74mvSv4T'],['PiKi']
1k0JAiH11gHL9dc5dfQjQr,NOT CUTE ANYMORE,131997,88,['k-pop'],6wKHLrZczZAhDVsMEG4JXt,NOT CUTE ANYMORE,2025-11-24,,['36cgvBn0aadzOijnjjwqMN'],['ILLIT']
4p0uVFAXKUISu8yp9gNtWE,Billyeoon Goyangi (Do the Dance),188641,79,['k-pop'],6tcKWEXikmRDB9KufEHvLp,bomb,2025-06-16,,['36cgvBn0aadzOijnjjwqMN'],['ILLIT']
37tJnYWkIg3h6wRxtHZlWR,Sunday Morning,172191,46,['k-pop'],3rFGTY4rGdfpqjTE5kx8bE,Sunday Morning,2026-01-13,,['36cgvBn0aadzOijnjjwqMN'],['ILLIT']
6IqEoBumGJPyESJAhwNMi3,Toki Yo Tomare,188124,47,['k-pop'],31H9k0JQ0gQBO0PbhP52w8,Toki Yo Tomare,2025-09-01,,['36cgvBn0aadzOijnjjwqMN'],['ILLIT']
59vn9z2EUT8GStAdmDNf3y,Topping,166640,62,['k-pop'],41tisXYtO2LPc1kGG0kEKn,Topping,2025-08-10,,['36cgvBn0aadzOijnjjwqMN'],['ILLIT']
3gpncpAgIWAd8ytN8qJ1QY,BEBE - Japanese ver.,179400,41,['k-pop'],5pC1tWolawhm5Ioig7hGMa,"Lover, Killer / BEBE (Japanese Ver.)",2025-06-04,,['01XYiBYaoMJcNhPokrg0l0'],['STAYC']
6jYiHr12NVKLzn0X7K8aSK,FOCUS,177052,78,['k-pop'],0SVlu6q116wFO1m4EZ088b,FOCUS - The 1st Mini Album,2025-10-20,,['1ZLU77nRzQIaP23mVSYpCQ'],['Hearts2Hearts']
30VFJSRmQ7iz31JrxEkuDA,Q&A,206000,27,['k-pop'],4gnxSTXmjuehY7XYKXWkZC,msnz <Beyond Beauty>,2025-11-24,,['5Z71xE9prhpHrqL5thVMyK'],['tripleS']
49DTiFx70EuJLV7hDsCo6z,WE GO UP,186973,80,['k-pop'],2Accppyz0p8XZaSSCIAuDK,WE GO UP,2025-10-10,,['1SIocsqdEefUTE6XKGUiVS'],['BABYMONSTER']
3sOAwRg5esaxDcWnUigWPv,0+0,192000,67,"['k-ballad', 'k-rock']",2DV7iVJ7L5DRQijgjyqLyQ,JAMONG SALGU CLUB,2025-08-04,,['5wVJpXzuKV6Xj7Yhsf2uYx'],['HANRORO']
7sxUb59tfiuzagetBF47AN,"Even if you leave,",272000,57,"['k-ballad', 'k-rock']",4U0OHQ6lGmBsbY15DAtLGx,"Even if you leave,",2023-04-21,,['5wVJpXzuKV6Xj7Yhsf2uYx'],['HANRORO']
3WvM2dIR9iIxMGNMP7WsNw,Landing in Love,165000,68,"['k-ballad', 'k-rock']",5NUuj9AlcNI1khPYJJAVtV,Take-off,2023-08-29,,['5wVJpXzuKV6Xj7Yhsf2uYx'],['HANRORO']
3Qfjzd5Rd7xjlQBm5pGcuM,I'm happy,221000,51,"['k-ballad', 'k-rock']",5NUuj9AlcNI1khPYJJAVtV,Take-off,2023-08-29,,['5wVJpXzuKV6Xj7Yhsf2uYx'],['HANRORO']
1fOzzOgVxAxDeVEmgmlZHw,一点点 - DJ版,187500,30,"['c-pop', 'drum and bass', 'mandopop', 'chinese hip hop', 'liquid funk', 'chinese r&b']",0UsSE0Nog1qsqRHGFkFgOe,一点点 (DJ版),2025-10-10,,"['0QwmLQKOeZobacsipWWvrT', '0nx6F0kN4McqlL648nTF4V', '37amnMKp6Y0BPiGNeaIjQc']","['董唧唧', '芊芊龍', 'Djah']"
2M7g5EDUsMSSzQzxX6nBoJ,关山酒 - Dj名龙版,158095,40,"['c-pop', 'gufeng']",1KBFY7gZ1l6HajDITOiUvV,关山酒 (戏腔版),2023-12-06,,"['4xB7IggwEbvBcdRdZxWyQk', '0wpVFVMpkIMKev1k8scv28']","['平生不晚', '名龙']"
4tnQucWQ3fW0A11Sfdx94W,Jumping Machine (跳楼机) - DJ阿布版,185234,47,"['c-pop', 'chinese r&b', 'mandopop']",0ZrCpc5hnI1DGwUH3UCCQM,Jumping Machine (跳楼机),2025-01-23,,['1xMn0bhYRWHDV01mU8gP1J'],['LBI利比']
638OgDxV47nGpeNBbBTtSS,离开我的依赖 - DJ德朋版,214153,38,"['c-pop', 'chinese r&b', 'mandopop']",431Ex3YnkFw9Eb1aylMmIY,离开我的依赖,2025-09-04,,['3QCXgdYV5EgHesmUfxAEpk'],['cici_']
2CPF5sLZe9RDte3sdXLlEf,探故知 - DJR7版,202714,0,"['c-pop', 'gufeng']",0VFT8xiUAtMY6xO7TAnSQQ,探故知 (DJR7版),2023-11-07,,['5N98rYrUBVIILXaNDLoEff'],['浅影阿']
5HvSvJLvc6XjUU1rQxqBRT,难却 - DJ细霖版,204375,0,"['c-pop', 'gufeng']",4iRHMPg1licxXyJrsEUVz7,难却 (DJ版),2022-11-12,,['4xB7IggwEbvBcdRdZxWyQk'],['平生不晚']
6jVMjyKSofa7zZX9tmAvaW,壁上观 - DJ亚明版,202500,44,"['c-pop', 'mandopop', 'gufeng']",7prcstEoN1Giezb0j0VMgr,壁上观,2024-08-26,,['78AY3Om5aSudpD4afaM6AI'],['邓寓君(等什么君)']
6V5ulob6Dz5liUZbSolREN,鸳鸯戏 - Dj哈市小鹏版,187934,39,"['c-pop', 'gufeng']",4caQRbT1SrgUYwjgy85W64,鸳鸯戏 (DJ哈市小鹏版),2025-01-15,,"['5pNHyD7fcJhOWLzghri069', '5T9BWBpw4GiwFuN7WMsXbE']","['邓寓君(等什么君)', '小鵬']"
06hhh87iJx0LLTjlf8qQOi,春庭雪 - DJ默涵版,212109,46,"['c-pop', 'mandopop', 'gufeng']",2iZErxB0Oh1DCyExNB7xci,春庭雪 (DJ默涵版),2024-01-26,,"['6stPrcreG671w8jLivyFQ6', '7CI4ZCPJxSkUDqmtnOYned']","['等什么君', '默涵']"
66twnVBnWmAsNydpOv2ZyV,听夜雨 - DJ–lucky小阳版,174932,28,"['c-pop', 'chinese r&b', 'gufeng']",7Cg01lmfaSoa8j09emDsBL,听夜雨 (DJ–lucky小阳版),2025-06-06,,"['6ZdMglt39EkXuu6sDAacjM', '7sbmA7CdwzZQeNVCRjl53t']","['礼越', 'lucky小阳']"
2IoQ0uhNOEI6K1EckMnDr7,风催雨 - DJ版,232634,35,['gufeng'],5uYXyX3JfF87Ko3iiUWVDS,风催雨 (DJlucky小阳版),2024-08-14,,"['2ET5rkAYnLXxa2aTg0vNvC', '0ku6r2syrTGu2oeG3Rz5et']","['费戚戚', 'DJlucky小阳']"
4bOWb2OtPYZVhXWQ0BHVlO,风月 - Dj版,190666,12,[],3xSOH8aIBmHWplI1BZwAzv,风月 (Dj版),2025-05-07,,['0JfrxGQOdnHYZWBAtzPezD'],['Echo']
6aB0wgEYFDb4Fkhn4paOau,未必（DJ鐵柱版）,178124,42,"['c-pop', 'vinahouse', 'mandopop']",3xGBkTMAgfzjGVmePpjy0N,未必（DJ鐵柱版）,2024-03-07,,['1A4zkf1qdAB7eu7sSTbkhD'],['言瑾羽']
5qAfVxNUxjrELshgTpWxLf,OVERDRIVE,160000,74,['k-pop'],6RBnUYZIGKGDdgEnf3ta1U,TWS 4th Mini Album 'play hard',2025-10-13,,['4GgBKgxhc649frZDHcXIEz'],['TWS']
59hVbgr8rfYkDbHfr8RcGI,IRIS OUT,151573,88,"['anime', 'j-rock', 'j-pop']",06re45NBDCPah74jnVOISQ,IRIS OUT,2025-09-15,,['1snhtMLeb2DYoMOcVbb8iB'],['Kenshi Yonezu']
6RlkEHM3PohEge8Lfhe9Cs,アドレナ,185825,70,"['anime', 'j-pop']",2QgUUmu8JSrgsuacr6dI6x,アドレナ,2026-01-04,,['64tJ2EAv1R6UaZqc4iOCyj'],['YOASOBI']
2N9miXnewVmUrgl6JSK1FI,SPAGHETTI,172313,88,"['k-rap', 'k-pop']",2yUrwTLHDWBrW74Ewuw6RX,SPAGHETTI,2025-10-24,,"['4SpbR6yFEvexJuaBpgAU5p', '0b1sIQumIAsNbqAoIClSpy']","['LE SSERAFIM', 'j-hope']"
5H1sKFMzDeMtXwND3V6hRY,JUMP,164718,88,['k-pop'],3hzoZlx2KwtvJEUl9piPWr,JUMP,2025-07-11,,['41MozSoPIsD1dJM0CLPjZF'],['BLACKPINK']
40UVUuyy5RfpO0awclCttA,FAMOUS,180353,73,['k-pop'],7rgnZ9iX2S9HFHmkFmSwW7,FAMOUS,2025-06-23,,['4gEMn0YPOdotLOygnk0Ng2'],['ALLDAY PROJECT']
7hCdtQsaKCBXrITaPNK2iE,White Memories,181000,63,"['k-pop', 'bubblegum pop']",4vnA4ZWgxrhxy5doVCGv9u,White Memories,2025-12-02,,['24nUVBIlCGi4twz4nYxJum'],['fromis_9']
5EoV2HmAlkqN1XvsIjOBZZ,STYLE,209671,76,['k-pop'],2bCF7O4JPKcxtlOw7AtphB,STYLE,2025-06-18,,['1ZLU77nRzQIaP23mVSYpCQ'],['Hearts2Hearts']
