track_id,track_name,track_duration_ms,track_popularity,track_genres,album_id,album_name,album_release_date,album_label,artist_ids,artist_names,release_year,track_duration_sec,source_playlist_id,playlist_name,playlist_owner
00WTRpkXPTms4ah74VurQi,masshiro (pure white),294140,64,['j-pop'],6YChKs8gVLOWqQhmUyybOg,masshiro (pure white),2025-02-27,,['6bDWAcdtVR3WHz2xtiIPUi'],['Fujii Kaze'],2025,294.14,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
5Ak1F5nGzM4KRhE0H1Q3CP,幾億光年,276386,72,"['city pop', 'anime', 'japanese indie', 'j-pop']",12oRFHOYrtXpgdjGtUa5NM,Pieces,2025-01-29,,['63ylN6WBUUxxMsySiDmr0B'],['Omoinotake'],2025,276.386,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
6L2DSQ4tjyyTnPAOQDVfCr,Almond Chocolate (Korean Ver.),201760,62,['k-pop'],775URHH5FqYCkzxswNR7nZ,Almond Chocolate (Korean Ver.),2025-03-10,,['36cgvBn0aadzOijnjjwqMN'],['ILLIT'],2025,201.76,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
53phXoN9I3xf60c3h2DhIl,YoYo,210333,49,['k-pop'],30MJZH2ehQKCTE3G00M8GL,YoYo,2024-02-29,,['5deOsjuFTKrNMJW3rKuL8S'],['RESCENE'],2024,210.333,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
12tWYSmupB8x0B4HyalBAm,Glow Up,148386,63,['k-pop'],0Ka3xa6oOWmW1hIjjjxEW0,Glow Up,2025-02-05,,['5deOsjuFTKrNMJW3rKuL8S'],['RESCENE'],2025,148.386,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
68UrZQUuO3O6eUiD226xHg,The Chase,178900,80,['k-pop'],2IjkSbisATTpSpVIlFVNkN,The Chase,2025-02-24,,['1ZLU77nRzQIaP23mVSYpCQ'],['Hearts2Hearts'],2025,178.9,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
3s3Eo4rb6aq3O62g6z6jtZ,Butterflies,177228,69,['k-pop'],2IjkSbisATTpSpVIlFVNkN,The Chase,2025-02-24,,['1ZLU77nRzQIaP23mVSYpCQ'],['Hearts2Hearts'],2025,177.228,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
1cgtNgk0bkBjKaHmhes7f0,Never Loved This Way Before,265160,65,['k-pop'],0k95tVxkzquZHZpCPNu9lH,Never Loved This Way Before (Odd Girl Out X BOYNEXTDOOR) [Original Soundtrack],2025-03-14,,['4hnHLgMSOiqERWBL4jINP1'],['BOYNEXTDOOR'],2025,265.16,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
4EIFwndJvGpgFjsEbNuYif,ExtraL (feat. Doechii),167754,84,['k-pop'],1vWMw6pu3err6qqZzI3RhH,Ruby,2025-03-07,,"['250b0Wlc5Vk0CoUsaCY84M', '4E2rKHVDssGJm2SCDOMMJB']","['JENNIE', 'Doechii']",2025,167.754,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
0DC62SYIRKMFgx2f7OyvwD,like JENNIE,123517,59,['k-pop'],1W7dufIS79lk01w3tBAGe5,Ruby,2025-03-07,,['250b0Wlc5Vk0CoUsaCY84M'],['JENNIE'],2025,123.517,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
406IpEtZPvbxApWTGM3twY,HOT,143797,81,['k-pop'],3lyRrGhXCCMbt4jVO9Wur2,HOT,2025-03-14,,['4SpbR6yFEvexJuaBpgAU5p'],['LE SSERAFIM'],2025,143.797,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
0I4qJamLijYkfEzsxNmmYb,In my lotion,209573,51,['k-pop'],0Ka3xa6oOWmW1hIjjjxEW0,Glow Up,2025-02-05,,['5deOsjuFTKrNMJW3rKuL8S'],['RESCENE'],2025,209.573,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
6VBiGpCFThcOFlldRiCPr9,ATTITUDE,194733,53,['k-pop'],0YaLbDxHTeZLT3CpDunKuT,IVE EMPATHY,2025-02-03,,['6RHTUrRF63xao58xh9FXYJ'],['IVE'],2025,194.733,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
5NxmDq0yXBYGfCbMqvIXuv,UNDEAD,182702,72,"['anime', 'j-pop']",6MJBA73OCvq4FEJqYhXn9e,UNDEAD,2024-07-01,,['64tJ2EAv1R6UaZqc4iOCyj'],['YOASOBI'],2024,182.702,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
6uSf2pBHT8QmNk9egROX8N,恋人以上、好き未満 - Full Size,269440,40,['j-pop'],0YhK82LUrchpKmRZNMQwrP,とくべチュ、して ／ 恋人以上、好き未満,2025-02-26,,['1j2WhcTW00Zd2SjFYsJVc6'],['=LOVE'],2025,269.44,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
2LHNTC9QZxsL3nWpt8iaSR,Abracadabra,223398,87,"['pop', 'art pop']",2MHUaRi9OCyTN02SoyRRBJ,MAYHEM,2025-03-07,,['1HY2Jd0NmPuamShAr6KMms'],['Lady Gaga'],2025,223.398,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
3gJAFFELdZyIM8tiwLAikg,Handlebars (feat. Dua Lipa),184698,84,"['k-pop', 'pop']",1vWMw6pu3err6qqZzI3RhH,Ruby,2025-03-07,,"['250b0Wlc5Vk0CoUsaCY84M', '6M2wZ9GZgrQXHCFfjv46we']","['JENNIE', 'Dua Lipa']",2025,184.698,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),177598,92,"['r&b', 'west coast hip hop', 'hip hop']",1Ss0ArMRr91m83mOgRBjSZ,GNX,2024-11-21,,"['2YZyLoL8N0Wb9xBt1NhZWg', '7tYKF4w9nC0nq9CsPZTHyP']","['Kendrick Lamar', 'SZA']",2024,177.598,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
6iycYUk3oB0NPMdaDUrN1w,EVIL J0RDAN,183928,86,['rage rap'],0fSfkmx0tdPqFYkJuNX74a,MUSIC,2025-03-14,,['699OTQXzgjhIYAHMy9RyPD'],['Playboi Carti'],2025,183.928,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
7HRW1XRyOITRJWrygoKL9u,Different 'Round Here,176000,75,['country'],0s8C6oQDtxObNVDfFKD5MR,Ain't My Last Rodeo,2023-10-13,,"['2QMsj4XJ7ne2hojxt6v5eb', '718COspgdWOnwOFpJHRZHS']","['Riley Green', 'Luke Combs']",2023,176.0,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
7GqNLsydHDulc4ifcS4Qqb,You Had To Be There (feat. Kenny Chesney),220157,78,['country'],3W0Ygv9YJbtfMNM9iHtbNk,You Had To Be There (feat. Kenny Chesney),2025-05-09,,"['5Ppie0uPnbnvGBYRwYmlt0', '3grHWM9bx2E9vwJCdlRv9O']","['Megan Moroney', 'Kenny Chesney']",2025,220.157,2eSEIZLQXvvNc1Gb9BITLG,THE BEST POP 2025,Jimin
