track_id,track_name,track_duration_ms,track_popularity,track_genres,album_id,album_name,album_release_date,album_label,artist_ids,artist_names,release_year,track_duration_sec
2G1nZCvN2y3qhjcQR9S2ki,"Satisfaction (with KASIA, Moonphazes, Majewski) - Remix",182780,0,"['electro house', 'edm', 'brazilian bass', 'melodic techno', 'melodic house']",6R8XewqCot8PEvbAv67rXk,"Satisfaction (with KASIA, Moonphazes, Majewski) [Remix]",2026-01-29,,"['1Cs0zKBU1kc0i8ypK3B9ai', '4Ws2otunReOa6BbwxxpCt6', '7eHoBIirKPLD1FtgLZnjFV', '5B6a4tvHuhbxL5sNHRbbKH', '7rddKaBLeToWjektrVnUCm']","['David Guetta', 'Benny Benassi', 'KASIA', 'Moonphazes', 'Majewski']",2026,182.78
2iyMHe42Q6bY0mKp29KaHw,LIGHTS GO OUT,158333,0,"['tech house', 'house']",2Ha5IAL4jtiVibo7sv86Fj,LIGHTS GO OUT,2026-01-28,,['7kNqXtgeIwFtelmRjWv205'],['John Summit'],2026,158.333
43psRuTeLgq7wHLXahgkO5,I Run - David Guetta Remix,153230,72,['edm'],7b2ykuIIVoaKC9KwnJrGiM,I Run (David Guetta Remix),2026-01-09,,"['7ouEqUl1PCVPlNninecdcz', '29G5je6tT7As2ZFY72CdXs', '1Cs0zKBU1kc0i8ypK3B9ai']","['HAVEN.', 'Kaitlin Aragon', 'David Guetta']",2026,153.23
5f7RFIBxFzgF93lz8H2AdH,Deep,166874,38,['big room'],7FvI1vJiC1bqNx9oiU1QOI,Deep,2026-01-16,,['4xgFgBZ7CRtgtHcziClOwQ'],['MOGUAI'],2026,166.874
6tQAZqFsKEdiatCHujyQ83,DISCOTEKA,154418,54,"['latin house', 'guaracha', 'techengue', 'electro house']",7J64TbuqO3BebCF2xD3izb,Discoteka,2026-01-09,,"['4Ws2otunReOa6BbwxxpCt6', '1ReDnqgOhy44VBuE0zvIaB']","['Benny Benassi', 'Tobias Gerard']",2026,154.418
3hIanoKRYqpCaOUwl8RIiG,GET LOUD,189843,34,"['melodic bass', 'bass house', 'edm trap']",2BmDEQOhlmva9bMBdvd1ps,GET LOUD,2026-01-23,,"['1aJGcBWhdgt1b8sEZ1Hupk', '6T9vLiLn2HpWHNaaEajGB4', '4IVi10Tw5s4iwiPUvh6DcF']","['No Signal', 'FrostTop', 'RemK']",2026,189.843
1yMRtDl3Di4bqRJMH6f1t2,Cry For You - AVELLO Remix,178181,48,"['melodic bass', 'tech house', 'house', 'edm']",4HnkCaVVSYen02sTUndKq8,Cry For You (AVELLO Remix),2026-01-23,,"['5czbzNZZfWpyFgZyfT3Mkk', '1ZR5GnPw0Jkb5M4hnBwzuZ']","['SIDEPIECE', 'AVELLO']",2026,178.181
4BVInAoO9PknJhl4go4Ox8,PRO,136045,27,"['big room', 'bass house', 'stutter house', 'tribal house']",38xDRv16jdlyfZO2cP8cCH,PRO,2026-01-02,,"['4lWmv250WqWOnM0FKmHxiO', '0WUYHL7uHrwxs5bFonQhx8', '3f2JHeVMJvkFQbH8O81178', '5zw7iUkPd0hOTBamIq1YvQ', '5AJqZD1lGrvkCoSvdXrM0A']","['NLW', 'Judgemxnt', 'MÆDM', 'Jop Govers', 'LOW:KEY']",2026,136.045
55oaId1IHZV9XfvHB3P7PJ,Locked In (feat. Trippie Redd),168923,67,"['melodic rap', 'edm']",2fG4Abi890K7fZ9MnEsq9p,Locked In (feat. Trippie Redd),2026-01-23,,"['1Cs0zKBU1kc0i8ypK3B9ai', '19HFRWmRCl27kTk6LeqAO8', '6Xgp2XMz1fhVYe7i6yNAax']","['David Guetta', 'MORTEN', 'Trippie Redd']",2026,168.923
0Rxn4PqpW2wiNhj5a3Sjgd,Go Mode,188731,63,"['electro house', 'brazilian bass', 'slap house', 'melodic techno', 'electronic', 'melodic house']",7Fph1Fv8ybagzOa8If8oVg,Go Mode,2026-01-16,,"['0NGAZxHanS9e0iNHpR8f2W', '3rOSOkPQ5PHYOiR7mvLTMA']","['Alok', 'JOA']",2026,188.731
7oKpSQxF9V2XMsFRrQ76P9,Fight Machine (feat. NAIIM),161250,62,"['afro house', 'edm', 'tribal house', 'slap house', 'afro tech', 'melodic techno', 'techno', 'progressive house', 'melodic house']",0CIjX6kABTRUYzgle1dZGS,Fight Machine (feat. NAIIM),2026-01-16,,"['3BkRu2TGd2I1uBxZKddfg1', '6cEuCEZu7PAE9ZSzLLc2oQ', '0e8a2RTD02fJ5lmCBOR7DI', '6wVwTnmkjVeWVAas91xIJw', '4y7ZnYVLA3k3efItckQfuF']","['ARTBAT', 'R3HAB', 'Stylo', 'Eli & Dani', 'NAIIM']",2026,161.25
74uasO19kfaOxvh9FP6F4b,When It Kicks - SCRIPT Remix,230697,43,"['house', 'melodic techno', 'acid techno', 'techno', 'chicago house', 'tech house', 'melodic house']",2yPYOhNY7YTwETPaavax2d,When It Kicks (SCRIPT Remix),2026-01-23,,"['7mC3RkNNTV6p2j9w4F8Ip4', '3ABaec4jjl95VqmG1iD4k2', '4CvDmoy5yE6L4hdBOHg1sz']","['Layton Giordani', 'Green Velvet', 'SCRIPT']",2026,230.697
4zedwYjb2LIdPBmfOeyXW5,You & Me - Vintage Culture Remix,234461,55,"['brazilian bass', 'tech house', 'electronic', 'electro']",1FOMConpwgbEszaYCh8O3y,You & Me (Vintage Culture Remix),2025-12-12,,"['3NKKngINK1tP6BFy0WOyWk', '28uJnu5EsrGml2tBd7y8ts']","['Max Styler', 'Vintage Culture']",2025,234.461
4sx0D9AfjSBjV7AJIWHan7,Pull Up,156923,45,"['drum and bass', 'bassline', 'edm', 'grime', 'big room', 'uk garage', 'progressive house', 'bass house']",3ymVlyhTrKLmUbUr3xmwKe,Pull Up,2026-01-16,,"['2QMCcKIPHnjQaPPgoEst88', '30IONe5gqXy6MXSNHVCCYP', '3JmGsgVoGUN1Ro1jLfi7k1']","['Matisse & Sadko', 'Vion Konger', 'Scrufizzer']",2026,156.923
5khfVayqYh6Cs7bcpzYzb4,All I Wanna Do,168750,37,"['big room', 'edm']",1HkAtTRgETwAM9mCmNE1BX,All I Wanna Do,2026-01-09,,['4CrDEHL7ysNabeYvL3xjUX'],['Skytech'],2026,168.75
0lBAr7hZU0KGlDv0ynWb3V,Run,124761,43,"['big room', 'edm', 'progressive house']",5hPs4Qe4zGb0e60lQgHxKf,Run,2026-01-09,,['3XINWZaloea97SIRiyTJxX'],['DubVision'],2026,124.761
3fPXv60Pp9jLGYrjd1RoNd,Listen To Me,162214,67,"['tropical house', 'hard house']",0lJlw16y8q0tfo9P6uZu5w,Listen To Me,2025-12-31,,"['7f5Zgnp2spUuuzKplmRkt7', '7k3cId1oZqUxRM5QgjMKJU', '2DlWR4iwXq2J7SUpqPdQbE']","['Lost Frequencies', 'CIEL.', 'Radio Cargo']",2025,162.214
0MBZH1gMOjrF9OVyhrDAo3,Vision Blurred,185624,54,"['tech house', 'edm']",49nuuneGqTobuf0FytxCyI,Vision Blurred,2026-01-23,,"['6TQj5BFPooTa08A7pk8AQ1', '4FCzCS0KEgb0rgySWINItO', '3ky8xBRraNNzxzXEw6Ga0c']","['Kaskade', 'CID', 'Anabel Englund']",2026,185.624
1rO61T3jVwbokKW9F1CWBv,Greece 2000 - Max Styler Rework,217674,58,"['trance', 'tech house']",6waS2OtH6DmHs3uBbRpM43,Greece 2000 (Max Styler Rework),2026-01-09,,"['3NKKngINK1tP6BFy0WOyWk', '6zgVdOBoN1Fu4JGqd9SZlG', '10feV0eOe64kjUc95Lnfuv']","['Max Styler', 'Three Drives', 'Three Drives On A Vinyl']",2026,217.674
0PGvfFmwTWqh3LfiIcac1j,Expanse,183000,46,"['melodic techno', 'tech house']",5XROcL5R3NlUsucSV1L9x8,Expanse EP,2026-01-16,,['4OG9hOPsfAEziKvOJj2SG7'],['GENESI'],2026,183.0
120mDtKiJCZJr9385kKavh,Tempo,223633,51,"['melodic techno', 'tech house']",5XROcL5R3NlUsucSV1L9x8,Expanse EP,2026-01-16,,['4OG9hOPsfAEziKvOJj2SG7'],['GENESI'],2026,223.633
33BoAepgYmpGoUIDALYtXo,Neo-Consciousness,228750,40,"['melodic techno', 'techno', 'stutter house', 'melodic house']",2SmN1Ac10MPhwvaSOrzobT,The End Of Genesys (Deluxe),2025-12-31,,"['4iBwchw0U0GZv5RfVYSMxN', '715OI7hiv58daVlEDXM47U']","['Anyma', 'Chris Avantgarde']",2025,228.75
2pXpi97evUElQuaRYjQIjk,Hero - Guzy Remix,210062,36,"['indie dance', 'minimal techno', 'melodic techno', 'techno', 'progressive house', 'melodic house']",2ZijJ3eYAFXZE7m7iO3Dvw,Hero (Guzy Remix),2026-01-16,,"['3NUcxMYt10f6cx567crDk2', '6ob0DwL4uI6eR5i9cc5tNn', '1kAgfGexswhVsFKGRrcIMB']","['Rafael Cerato', 'widerberg', 'Guzy']",2026,210.062
