track_id,track_name,track_duration_ms,track_popularity,track_genres,album_id,album_name,album_release_date,album_label,artist_ids,artist_names,release_year,track_duration_sec
49kxojEYhapn5OfL0HjfA6,Magic Shine New Zone,51000,17,['k-pop'],4gnxSTXmjuehY7XYKXWkZC,msnz <Beyond Beauty>,2025-11-24,,['5Z71xE9prhpHrqL5thVMyK'],['tripleS'],2025,51.0
5y2Z9s6B997Y2SWDSzy50T,Fly Up,160000,33,['k-pop'],4gnxSTXmjuehY7XYKXWkZC,msnz <Beyond Beauty>,2025-11-24,,['5Z71xE9prhpHrqL5thVMyK'],['tripleS'],2025,160.0
30VFJSRmQ7iz31JrxEkuDA,Q&A,206000,27,['k-pop'],4gnxSTXmjuehY7XYKXWkZC,msnz <Beyond Beauty>,2025-11-24,,['5Z71xE9prhpHrqL5thVMyK'],['tripleS'],2025,206.0
6vWAMLWU0NXnPWHnsMUk6X,Christmas Alone,171000,34,['k-pop'],4gnxSTXmjuehY7XYKXWkZC,msnz <Beyond Beauty>,2025-11-24,,['5Z71xE9prhpHrqL5thVMyK'],['tripleS'],2025,171.0
55qqZWgKUhVRzZKEVU3Tm6,Black Soul Dress,216813,41,['k-pop'],2X2nKgBuusDa4VqLI6hMU2,LOVElution <ↀ>,2023-08-17,,['5Z71xE9prhpHrqL5thVMyK'],['tripleS'],2023,216.813
7CSNTKPHjDreo1hBA5PRSN,Hit the Floor,177186,22,['k-pop'],6oAcPsCAEWXmlhgVCBaEWB,Visionary Vision <Performante>,2024-10-23,,['5Z71xE9prhpHrqL5thVMyK'],['tripleS'],2024,177.186
53k2MlAwVH8RpHxkkjBg4B,Rising,159933,55,['k-pop'],6lCXOBwO98PfkbR32dsxrp,ASSEMBLE,2023-02-13,,['5Z71xE9prhpHrqL5thVMyK'],['tripleS'],2023,159.933
3KuCXHNvtheCDzwZpaRR9I,Generation,164186,55,['k-pop'],4EdQFAwm8sQbbeEX1laj7H,Acid Angel from Asia <ACCESS>,2022-10-28,,['5Z71xE9prhpHrqL5thVMyK'],['tripleS'],2022,164.186
3B9kAk2XZ4n4RK8HpxkkdK,Girls' Capitalism,218106,52,['k-pop'],2X2nKgBuusDa4VqLI6hMU2,LOVElution <ↀ>,2023-08-17,,['5Z71xE9prhpHrqL5thVMyK'],['tripleS'],2023,218.106
16xTL1XLhK8fw56SHVrXzT,24,153373,46,['k-pop'],1FEdDqMaOL8oZYzI4n27GM,<ASSEMBLE24>,2024-05-08,,['5Z71xE9prhpHrqL5thVMyK'],['tripleS'],2024,153.373
