track_id,track_name,track_duration_ms,track_popularity,track_genres,album_id,album_name,album_release_date,album_label,artist_ids,artist_names,release_year,track_duration_sec,source_playlist_id,playlist_name,playlist_owner,user_id
6p4Kp6ZpzuuIhoJIsvQXzU,Limitless - Arcando Remix,125843,54,"['drum and bass', 'progressive house', 'electronica', 'edm', 'future house']",0YDIJKZcaJupUFdt2vay2K,Limitless (Arcando Remix),2025-05-09,,"['60d24wfXkVzDSfLS6hyCjZ', '0RViEWnZO2VhmY4oI0PhF9', '0ycvq8upLhNmddPdQXhLOy']","['Martin Garrix', 'Mesto', 'Arcando']",2025,125.843,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
3dcWKFefG4Otjdb6ykBVcY,Feel The Vibration,201847,66,"['bassline', 'drum and bass', 'liquid funk']",4L2BjQY9sslyCYkcF8CsS0,Feel The Vibration,2025-04-17,,['1KiNUGL3r0GgyLwqYCY1yV'],['Kanine'],2025,201.847,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
0FXxWeH5wCX4SqeQ0Mtdar,The Formula,169275,48,"['hypertechno', 'drum and bass', 'big room', 'edm', 'liquid funk', 'future house']",0QxE4lahxpdZVJ4SKem6VB,The Formula,2025-04-11,,"['6jsS2mOTAxVrlSUWiPLXpH', '67vd9gNF4DOLk91mqL6Jkd', '3Hzok9apHnCGDDkGltQcMg', '1l2ekx5skC4gJH8djERwh1']","['T & Sugah', 'Control Alt Delete', 'Kris Kiss', 'Don Diablo']",2025,169.275,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
6yWCx32ltE7Kcoq6k4hJqX,LOUDER,222069,45,"['bassline', 'drum and bass', 'jungle']",4BlHJap7UWIyvT0ZdsrwoD,LOUDER,2025-04-23,,"['1h8wkWuZQKyDiwbLogtoL0', '1YrGu3E2y8jG5JJFlDEWFE']","['Mozey', 'Circadian']",2025,222.069,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
4yI74bdkCfRmhr3BzMTLwU,Liftoff,180689,34,"['bassline', 'drum and bass']",4f1MB3TwIBkzUixeNncZIw,X12,2025-03-14,,['5DygptUY6coQHpmgFfISzQ'],['A.M.C'],2025,180.689,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
1dUjSCxkIgbZzLQG8EW0rw,WERK,183448,36,['drum and bass'],2sZbraU1zKaS5lB1U9iuks,WERK,2025-03-28,,['7KgEOoJ0CawH7NOaLe34Qe'],['Pirapus'],2025,183.448,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
7A2K6UcyFSt7wBuv4B6kXi,Miracle,165517,70,"['trance', 'drum and bass', 'liquid funk', 'eurodance']",36Vuo1Sls1ZzZqcceuapAh,Miracle,2025-06-20,,"['0QaSiI5TLA4N7mcsdxShDO', '6lp2VnIRXXpC9Wz7hSX6RE', '2t9efDsc10DtZpi4LP3BJJ']","['Sub Focus', 'Culture Shock', 'Fragma']",2025,165.517,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
1ZaP48UAQ78yRQ0spu4MUX,Vital Signs,226206,52,"['drum and bass', 'liquid funk']",3xQnV5ep2U8sKAFLLImoDz,Vital Signs,2025-05-02,,"['27YdXZOMLqvxI2pB5GyqyY', '4yzrGOiPCcssfpKBT0bnHR']","['Grafix', 'Nu-La']",2025,226.206,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
2R2NZJZ5P52UOEp2IhlrzX,Ultrasound,185142,52,['drum and bass'],2FC2qvtOZfOuQRscDSZq2w,Ultrasound,2025-02-21,,"['0ycvq8upLhNmddPdQXhLOy', '7KgEOoJ0CawH7NOaLe34Qe']","['Arcando', 'Pirapus']",2025,185.142,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
1lJVG4aXmbvMM2jpkbzckJ,Make It Pump,226206,44,"['drum and bass', 'liquid funk']",5pnLZQqX9jJcQJd5wi9jxK,Make It Pump,2024-11-26,,"['6lp2VnIRXXpC9Wz7hSX6RE', '27YdXZOMLqvxI2pB5GyqyY']","['Culture Shock', 'Grafix']",2024,226.206,3yqirG2PgAhJRpf8o312Ak,THE BEST BASS 2025,Jimin,5
