track_id,track_name,track_duration_ms,track_popularity,track_genres,album_id,album_name,album_release_date,album_label,artist_ids,artist_names,release_year,track_duration_sec,source_playlist_id
2aJwlohnHuKWIUK8UntETK,Toulouse,365625,50,"['electro house', 'edm', 'big room', 'progressive house']",2jfc1YtzBJMPXOtGoFa4cp,Miami 2012 (Mixed by MYNC & Nicky Romero),2012-02-20,,['5ChF3i92IPZHduM7jN3dpg'],['Nicky Romero'],2012.0,365.625,67PaYmoZUrRaSXaWEIJglP
1QrwhCe2tKe9V4jptUDSYN,Noise,293598,22,"['melbourne bounce', 'big room']",4amfQCgoD9x1QL6WwRM5Vs,Noise,2013-10-21,,['6d7AYr4nvqHPhfPaDLLeRU'],['Qulinez'],2013.0,293.598,67PaYmoZUrRaSXaWEIJglP
0JhKJg5ejeQ8jq89UQtnw8,Levels - Radio Edit,199903,14,['edm'],4mkvtXQd6rD7zuAHhexEvb,Levels,2011-10-28,,['1vCWHaC5f2uS3yhpwWbIA6'],['Avicii'],2011.0,199.903,67PaYmoZUrRaSXaWEIJglP
0nrRP2bk19rLc0orkWPQk2,Wake Me Up,247426,89,['edm'],2H6i2CrWgXE1HookLu8Au0,True,2013-01-01,,['1vCWHaC5f2uS3yhpwWbIA6'],['Avicii'],2013.0,247.426,67PaYmoZUrRaSXaWEIJglP
6YUTL4dYpB9xZO5qExPf05,Summer,222533,88,['edm'],48zisMeiXniWLzOQghbPqS,Motion,2014-10-31,,['7CajNmpbOovFoOoasH2HaY'],['Calvin Harris'],2014.0,222.533,67PaYmoZUrRaSXaWEIJglP
6PtXobrqImYfnpIxNsJApa,Bad (feat. Vassy) - Radio Edit,170625,66,"['big room', 'electronica', 'dance', 'hardstyle', 'edm']",6CvEd1L1KJZ8g3wIwCZYvF,Bad (feat. Vassy) [Radio Edit],2014-04-06,,"['1Cs0zKBU1kc0i8ypK3B9ai', '3gk0OYeLFWYupGFRHqLSR7', '7HqEmV7FeCi16bQyHMpIrF']","['David Guetta', 'Showtek', 'VASSY']",2014.0,170.625,67PaYmoZUrRaSXaWEIJglP
0gpvO8fKvZcQ4u54rdu469,Tremor - Sensation 2014 Anthem,294374,66,"['electro', 'big room', 'electronica', 'progressive house', 'edm']",5s8DgmyHC90Picekp9DOWJ,Tremor (Sensation 2014 Anthem),2014-05-05,,"['73jBynjsVtofjRpdpRAJGk', '60d24wfXkVzDSfLS6hyCjZ', '2HkAI0YrEcgoR8QdaURqhO']","['Dimitri Vegas & Like Mike', 'Martin Garrix', 'Dimitri Vegas']",2014.0,294.374,67PaYmoZUrRaSXaWEIJglP
0TbDqyJpZl3juUteFEusQD,Stay The Night - Featuring Hayley Williams Of Paramore / Zedd & Kevin Drew Remix,244160,36,"['edm', 'art pop']",5dvRLEt9UKRlLg1EIdsJHY,Stay The Night (Remixes Featuring Hayley Williams Of Paramore),2014-01-01,,"['2qxJFvFYMEDqd7ui6kSAcq', '6Rx1JKzBrSzoKQtmbVmBnM', '7BH45zw1gWfcjo42gnDJ1D']","['Zedd', 'Hayley Williams', 'Kevin Drew']",2014.0,244.16,67PaYmoZUrRaSXaWEIJglP
2E01JGJGMa5gW1PmqAWYXG,Overtime,246447,48,['edm'],5lLQIsKacRMQwp4tfrocjh,Overtime EP,2013-10-29,,['1LOB7jTeEV14pHai6EXSzF'],['Cash Cash'],2013.0,246.447,67PaYmoZUrRaSXaWEIJglP
2BYlNray5xQe3GE48gRJ29,Overtime - Vicetone Remix Edit,203095,12,['edm'],2Dd7At3Lj9zC71URBUS7bO,EDMXXL The Best of Vicetone,2016-01-18,,"['1LOB7jTeEV14pHai6EXSzF', '0daugAjUgbJSqdlyYNwIbT']","['Cash Cash', 'Vicetone']",2016.0,203.095,67PaYmoZUrRaSXaWEIJglP
46lFttIf5hnUZMGvjK0Wxo,Runaway (U & I),227073,80,[],4QcXq4vTVN7dFb7bZa9jG2,Pharmacy,2015-06-05,,['4sTQVOfp9vEMCemLw50sbu'],['Galantis'],2015.0,227.073,67PaYmoZUrRaSXaWEIJglP
4J7CKHCF3mdL4diUsmW8lq,Under Control (feat. Hurts),184280,77,['edm'],48zisMeiXniWLzOQghbPqS,Motion,2014-10-31,,"['7CajNmpbOovFoOoasH2HaY', '4AVFqumd2ogHFlRbKIjp1t', '3w4VAlllkAWI6m0AV0Gn6a']","['Calvin Harris', 'Alesso', 'Hurts']",2014.0,184.28,67PaYmoZUrRaSXaWEIJglP
2P4OICZRVAQcYAV2JReRfj,Waiting For Love,230613,84,['edm'],7dqftJ3kas6D0VAdmt3k3V,Stories,2015-10-02,,['1vCWHaC5f2uS3yhpwWbIA6'],['Avicii'],2015.0,230.613,67PaYmoZUrRaSXaWEIJglP
5GjnIpUlLGEIYk052ISOw9,This Is What It Feels Like,204360,76,"['electronica', 'trance', 'progressive house', 'progressive trance', 'edm']",5ZsK5SUsZilbAJ4B0vRVxF,Intense,2013-05-03,,"['0SfsnGyD8FpIN4U4WCkBZ5', '6NXk2pLFocS2OkNdT7ncBt']","['Armin van Buuren', 'Trevor Guthrie']",2013.0,204.36,67PaYmoZUrRaSXaWEIJglP
