track_id,track_name,track_duration_ms,track_popularity,track_genres,album_id,album_name,album_release_date,album_label,artist_ids,artist_names,release_year,track_duration_sec,source_playlist_id,playlist_name,playlist_owner
4OMJGnvZfDvsePyCwRGO7X,Houdini,185917,22,['pop'],5pTaRVLwZOFObIbRBubmeb,Houdini,2023-11-09,,['6M2wZ9GZgrQXHCFfjv46we'],['Dua Lipa'],2023,185.917,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
79Ojf7CxxJw04NP4d8hrf8,NRG,146250,55,[],3S6FlsCt2FK6saAarcRoyy,NRG,2023-10-06,,['7zAAwgV5Wqmvpb4GzvlRkP'],['Jazzy'],2023,146.25,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
7gaA3wERFkFkgivjwbSvkG,"yes, and?",214994,75,['pop'],2B9amdrHDIKOoEiPUfZGtb,"yes, and?",2024-01-12,,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],2024,214.994,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
7iUScoHKNJC5hqtA40vMlj,leavemealone,222784,9,"['stutter house', 'house']",1tIp3NC564c1P9njNFJAqS,USB,2022-01-18,,"['4oLeXFyACqeem2VImYeBFe', '5SXuuuRpukkTvsLuUknva1']","['Fred again..', 'Baby Keem']",2022,222.784,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
5z1qoC9KRyVVDjs2ZHiFXJ,Just Do It,153506,20,['k-pop'],6wv9HJNrlzn53b3OLvsijR,NXT <Just Do It>,2023-12-23,,['5Z71xE9prhpHrqL5thVMyK'],['tripleS'],2023,153.506,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
2kTKlEtnGx5z8oi4O06yqC,Discord,167800,57,"['k-pop', 'k-rock']",0AmeepTU81c9ghVpJpacNc,1st Single Album 'Harmony from Discord',2023-10-18,,['0XufO9nLOKNN0w0qNrDrZy'],['QWER'],2023,167.8,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
5juCu4WFTFRZ2XilopAMTy,Bam Yang Gang,146197,64,"['k-pop', 'k-rap']",4QJZzFdGz2YlPZEHAlAJ6O,Bam Yang Gang,2024-02-13,,['6UbmqUEgjLA6jAcXwbM1Z9'],['BIBI'],2024,146.197,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
2GquhrcHbl2zOnF5javAFp,Swan Song,157179,67,['k-pop'],1YCj4PZi08G20y2ekGKY0C,EASY,2024-02-19,,['4SpbR6yFEvexJuaBpgAU5p'],['LE SSERAFIM'],2024,157.179,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
618OKP1lBkNJL8uZdNSvQE,MANIAC,195520,15,['k-pop'],56EQPw5TQ6OPVYbbmuzw7y,The 4th Mini Album 'VERSUS',2023-11-02,,['7Lq3yAtwi0Z7zpxEwbQQNZ'],['VIVIZ'],2023,195.52,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
7dPdKXZjt04R6Ne7vWXZIh,Love Song,258306,43,['j-pop'],1Dy7aa6yDhK1X0RdrVnHhq,Candle,2023-11-29,,['7oQ6zxSp4eQjvVkk9rGIDV'],['マルシィ'],2023,258.306,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
